"forecastdate","lst","height","z","win_s","win_d","rh","tc","td"
"2018-01-01 20:00:00","2018-01-05 07:00:00",1000,189.77,9.29,66.91,89.87,6.49,4.87
"2018-01-01 20:00:00","2018-01-05 08:00:00",1000,191.39,8.25,67.78,90.27,6.68,5.13
"2018-01-01 20:00:00","2018-01-05 09:00:00",1000,192.11,8.31,64.84,87.68,6.96,4.98
"2018-01-01 20:00:00","2018-01-05 10:00:00",1000,190.77,7.9,70,89.75,6.88,5.24
"2018-01-01 20:00:00","2018-01-05 11:00:00",1000,190.87,6.5,68.84,91.23,7.14,5.73
"2018-01-01 20:00:00","2018-01-05 12:00:00",1000,192.39,7.81,77.67,91.15,6.91,5.48
"2018-01-01 20:00:00","2018-01-05 13:00:00",1000,191.64,8.19,77.72,85.96,6.95,4.7
"2018-01-01 20:00:00","2018-01-05 14:00:00",1000,190.03,7.11,85.1,90.08,6.94,5.35
"2018-01-01 20:00:00","2018-01-05 15:00:00",1000,191.14,7.79,78.3,89.46,6.72,5.04
"2018-01-01 20:00:00","2018-01-05 16:00:00",1000,199.92,7.66,71.57,82.27,6.52,3.65
"2018-01-01 20:00:00","2018-01-05 17:00:00",1000,202.83,8.55,70.99,80.45,6.16,2.99
"2018-01-01 20:00:00","2018-01-05 18:00:00",1000,204.55,7.94,69.2,78.26,5.85,2.3
"2018-01-01 20:00:00","2018-01-05 19:00:00",1000,210.64,7.56,72.35,81.01,5.65,2.58
"2018-01-01 20:00:00","2018-01-05 20:00:00",1000,213.74,7.25,66.09,80.28,5.46,2.28
"2018-01-01 20:00:00","2018-01-01 20:00:00",925,853.44,8.86,317.33,58.6,2.36,-4.96
"2018-01-01 20:00:00","2018-01-01 21:00:00",925,855.14,9.56,314.56,61.85,2.53,-4.09
"2018-01-01 20:00:00","2018-01-01 22:00:00",925,858.29,10.16,310.01,66.33,2.8,-2.9
"2018-01-01 20:00:00","2018-01-01 23:00:00",925,860,9.98,308.13,71.72,2.89,-1.76
"2018-01-01 20:00:00","2018-01-02 00:00:00",925,859.78,10.08,306.65,82.62,2.69,-0.02
"2018-01-01 20:00:00","2018-01-02 01:00:00",925,860.32,10,305.31,86.11,2.84,0.7
"2018-01-01 20:00:00","2018-01-02 02:00:00",925,857.1,9.85,303.81,89.98,2.93,1.39
"2018-01-01 20:00:00","2018-01-02 03:00:00",925,858.48,9.93,302,91.11,3.12,1.75
"2018-01-01 20:00:00","2018-01-02 04:00:00",925,857.92,9.6,296.92,86.81,3.54,1.49
"2018-01-01 20:00:00","2018-01-02 05:00:00",925,859.36,9.64,292.55,83.97,3.87,1.35
"2018-01-01 20:00:00","2018-01-02 06:00:00",925,859.04,9.23,292.06,87.6,3.87,1.94
"2018-01-01 20:00:00","2018-01-02 07:00:00",925,860.2,9.5,293.35,91.15,3.91,2.53
"2018-01-01 20:00:00","2018-01-02 08:00:00",925,859.62,9.44,289.75,92.43,4.1,2.91
"2018-01-01 20:00:00","2018-01-02 09:00:00",925,858.41,9.68,293.71,99.67,4.11,4.03
"2018-01-01 20:00:00","2018-01-02 10:00:00",925,857.82,9.42,294.37,99.67,4.44,4.36
"2018-01-01 20:00:00","2018-01-02 11:00:00",925,856.29,9.29,296.55,99.89,4.78,4.74
"2018-01-01 20:00:00","2018-01-02 12:00:00",925,854.79,8.79,296.87,100,5.06,5.04
"2018-01-01 20:00:00","2018-01-02 13:00:00",925,852.58,7.89,295.58,100,5.08,5.06
"2018-01-01 20:00:00","2018-01-02 14:00:00",925,851.29,7.33,284.46,99.85,5.36,5.28
"2018-01-01 20:00:00","2018-01-02 15:00:00",925,851.1,7.05,284.52,100,5.51,5.49
"2018-01-01 20:00:00","2018-01-02 16:00:00",925,853.21,6.13,280.9,99.58,5.86,5.71
"2018-01-01 20:00:00","2018-01-02 17:00:00",925,853.64,5.84,288.82,100,5.97,5.95
"2018-01-01 20:00:00","2018-01-02 18:00:00",925,854.91,5.28,282.12,99.97,6.14,6.1
"2018-01-01 20:00:00","2018-01-02 19:00:00",925,857.54,5.02,273.04,98.9,6.5,6.24
