event,event_id,eventmerge,usrid,time,event_duration,event_id
AppEvent,collectDeviceFingerSuccess,AppEvent-collectDeviceFingerSuccess,c00389049878,2020-12-29 15:02:17.524,null,collectDeviceFingerSuccess
AppEvent,mainPageCl,AppEvent-mainPageCl,c00389049878,2020-12-29 15:02:17.885,null,mainPageCl
AppPageView,MainPg,AppPageView-MainPg,c00389049878,2020-12-29 15:02:19.681,1801.0,MainPg
AppPageView,Main,AppPageView-Main,c00389049878,2020-12-29 15:02:19.701,null,Main
$AppEnd,null,null,c00389049878,2020-12-29 15:02:19.74,2.0,null
$AppStart,null,null,c00389049878,2020-12-29 16:12:19.75,null,null
AppEvent,collectDeviceFinger,AppEvent-collectDeviceFinger,c00389049878,2020-12-29 16:12:19.774,null,collectDeviceFinger
JwfwLocationCm,JwfwLocAndCm,JwfwLocationCm-JwfwLocAndCm,c00389049878,2020-12-29 16:12:20.14,null,JwfwLocAndCm
AppEvent,collectDeviceFingerSuccess,AppEvent-collectDeviceFingerSuccess,c00389049878,2020-12-29 16:12:20.358,null,collectDeviceFingerSuccess
AppEvent,requestSIDSuccess,AppEvent-requestSIDSuccess,c00389049878,2020-12-29 16:12:20.407,null,requestSIDSuccess
AppPageView,MainPg,AppPageView-MainPg,c00389049878,2020-12-29 16:12:20.706,932.0,MainPg
AppEvent,fortunePageCl,AppEvent-fortunePageCl,c00389049878,2020-12-29 16:12:20.717,null,fortunePageCl
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 16:12:21.009,null,FortuneHideCardBalaCl
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 16:12:21.017,null,FortuneHideCardBalaCl
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 16:12:21.622,null,FortuneHideCardBalaCl
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 16:12:21.634,null,FortuneHideCardBalaCl
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 16:12:22.288,null,FortuneHideCardBalaCl
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 16:12:22.303,null,FortuneHideCardBalaCl
FortuneFunctionCl,null,null,c00389049878,2020-12-29 16:12:39.075,null,null
FortuneFunctionCl,null,null,c00389049878,2020-12-29 16:12:39.087,null,null
AppPageView,Main,AppPageView-Main,c00389049878,2020-12-29 16:12:39.114,null,Main
AppPageView,Delegate,AppPageView-Delegate,c00389049878,2020-12-29 16:12:39.186,47.0,Delegate
AppEvent,trackStartLoadingRN,AppEvent-trackStartLoadingRN,c00389049878,2020-12-29 16:12:39.325,null,trackStartLoadingRN
AppEvent,trackRNJavaScriptDidLoad,AppEvent-trackRNJavaScriptDidLoad,c00389049878,2020-12-29 16:12:39.432,null,trackRNJavaScriptDidLoad
AppPageView,CreaditCardRepayPg,AppPageView-CreaditCardRepayPg,c00389049878,2020-12-29 16:12:39.671,20.0,CreaditCardRepayPg
$AppEnd,null,null,c00389049878,2020-12-29 16:12:47.291,27.0,null
$AppStart,null,null,c00389049878,2020-12-29 16:44:16.718,null,null
AppEvent,collectDeviceFinger,AppEvent-collectDeviceFinger,c00389049878,2020-12-29 16:44:16.739,null,collectDeviceFinger
JwfwLocationCm,JwfwLocAndCm,JwfwLocationCm-JwfwLocAndCm,c00389049878,2020-12-29 16:44:17.217,null,JwfwLocAndCm
AppEvent,requestSIDSuccess,AppEvent-requestSIDSuccess,c00389049878,2020-12-29 16:44:17.385,null,requestSIDSuccess
AppEvent,collectDeviceFingerSuccess,AppEvent-collectDeviceFingerSuccess,c00389049878,2020-12-29 16:44:17.579,null,collectDeviceFingerSuccess
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 16:44:17.755,null,FortuneHideCardBalaCl
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 16:44:17.762,null,FortuneHideCardBalaCl
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 16:44:17.931,null,FortuneHideCardBalaCl
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 16:44:17.941,null,FortuneHideCardBalaCl
AppPageView,creditCardRepayPg,AppPageView-creditCardRepayPg,c00389049878,2020-12-29 16:44:18.196,446.0,creditCardRepayPg
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 16:44:18.568,null,FortuneHideCardBalaCl
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 16:44:18.58,null,FortuneHideCardBalaCl
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 16:44:19.254,null,FortuneHideCardBalaCl
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 16:44:19.269,null,FortuneHideCardBalaCl
AppPageView,Main,AppPageView-Main,c00389049878,2020-12-29 16:44:20.229,null,Main
$AppEnd,null,null,c00389049878,2020-12-29 16:44:20.683,3.0,null
AppEvent,verifyStatusSet,AppEvent-verifyStatusSet,c00389049878,2020-12-29 16:44:20.711,null,verifyStatusSet
AppEvent,fileLocation,AppEvent-fileLocation,c00389049878,2020-12-29 17:04:41.576,null,fileLocation
$AppStart,null,null,c00389049878,2020-12-29 17:04:41.599,null,null
AppEvent,collectDeviceFinger,AppEvent-collectDeviceFinger,c00389049878,2020-12-29 17:04:41.614,null,collectDeviceFinger
JwfwLocationCm,JwfwLocAndCm,JwfwLocationCm-JwfwLocAndCm,c00389049878,2020-12-29 17:04:41.989,null,JwfwLocAndCm
AppPageView,WelcomeView,AppPageView-WelcomeView,c00389049878,2020-12-29 17:04:42.099,486.0,WelcomeView
AppEvent,collectDeviceFinger,AppEvent-collectDeviceFinger,c00389049878,2020-12-29 17:04:42.139,null,collectDeviceFinger
AppEvent,collectDeviceFingerFailed,AppEvent-collectDeviceFingerFailed,c00389049878,2020-12-29 17:04:42.147,null,collectDeviceFingerFailed
AppEvent,collectDeviceFingerSuccess,AppEvent-collectDeviceFingerSuccess,c00389049878,2020-12-29 17:04:42.213,null,collectDeviceFingerSuccess
JwfwLocationCm,JwfwLocAndCm,JwfwLocationCm-JwfwLocAndCm,c00389049878,2020-12-29 17:04:42.782,null,JwfwLocAndCm
AppEvent,guideCancel_NewYearAct,AppEvent-guideCancel_NewYearAct,c00389049878,2020-12-29 17:04:42.908,null,guideCancel_NewYearAct
AtHotPayCl,null,null,c00389049878,2020-12-29 17:04:46.243,null,null
AppPageView,MainPg,AppPageView-MainPg,c00389049878,2020-12-29 17:04:46.278,4046.0,MainPg
AppPageView,Main,AppPageView-Main,c00389049878,2020-12-29 17:04:46.289,null,Main
AppPageView,Delegate,AppPageView-Delegate,c00389049878,2020-12-29 17:04:46.371,53.0,Delegate
AppEvent,trackStartLoadingRN,AppEvent-trackStartLoadingRN,c00389049878,2020-12-29 17:04:46.593,null,trackStartLoadingRN
AppEvent,trackRNJavaScriptDidLoad,AppEvent-trackRNJavaScriptDidLoad,c00389049878,2020-12-29 17:04:46.644,null,trackRNJavaScriptDidLoad
AppPageView,TransferMoneyPg,AppPageView-TransferMoneyPg,c00389049878,2020-12-29 17:04:47.003,3.0,TransferMoneyPg
AppEvent,collectDeviceFinger,AppEvent-collectDeviceFinger,c00389049878,2020-12-29 17:04:47.162,null,collectDeviceFinger
AppEvent,collectDeviceFingerFailed,AppEvent-collectDeviceFingerFailed,c00389049878,2020-12-29 17:04:47.18,null,collectDeviceFingerFailed
AppEvent,tsfMnCardTsfCl,AppEvent-tsfMnCardTsfCl,c00389049878,2020-12-29 17:04:51.323,null,tsfMnCardTsfCl
AppEvent,TransferUniCardCl,AppEvent-TransferUniCardCl,c00389049878,2020-12-29 17:04:51.343,null,TransferUniCardCl
JwfwLocationCm,JwfwLocAndCm,JwfwLocationCm-JwfwLocAndCm,c00389049878,2020-12-29 17:04:51.758,null,JwfwLocAndCm
AppEvent,tsfMnCardTsfCl,AppEvent-tsfMnCardTsfCl,c00389049878,2020-12-29 17:04:54.658,null,tsfMnCardTsfCl
AppEvent,TransferUniCardCl,AppEvent-TransferUniCardCl,c00389049878,2020-12-29 17:04:54.67,null,TransferUniCardCl
JwfwLocationCm,JwfwLocAndCm,JwfwLocationCm-JwfwLocAndCm,c00389049878,2020-12-29 17:04:55.068,null,JwfwLocAndCm
$AppEnd,null,null,c00389049878,2020-12-29 17:05:36.386,54.0,null
$AppStart,null,null,c00389049878,2020-12-29 17:06:01.762,null,null
AppEvent,collectDeviceFinger,AppEvent-collectDeviceFinger,c00389049878,2020-12-29 17:06:01.835,null,collectDeviceFinger
JwfwLocationCm,JwfwLocAndCm,JwfwLocationCm-JwfwLocAndCm,c00389049878,2020-12-29 17:06:02.266,null,JwfwLocAndCm
AppEvent,collectDeviceFingerSuccess,AppEvent-collectDeviceFingerSuccess,c00389049878,2020-12-29 17:06:02.499,null,collectDeviceFingerSuccess
AppPageView,MainPg,AppPageView-MainPg,c00389049878,2020-12-29 17:06:05.259,2548.0,MainPg
AppEvent,fortunePageCl,AppEvent-fortunePageCl,c00389049878,2020-12-29 17:06:05.272,null,fortunePageCl
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 17:06:05.473,null,FortuneHideCardBalaCl
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 17:06:05.481,null,FortuneHideCardBalaCl
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 17:06:06.18,null,FortuneHideCardBalaCl
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 17:06:06.195,null,FortuneHideCardBalaCl
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 17:06:06.898,null,FortuneHideCardBalaCl
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 17:06:06.912,null,FortuneHideCardBalaCl
AppEvent,mainPageCl,AppEvent-mainPageCl,c00389049878,2020-12-29 17:06:10.027,null,mainPageCl
AppPageView,MainPg,AppPageView-MainPg,c00389049878,2020-12-29 17:06:10.915,893.0,MainPg
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 17:06:10.926,null,FortuneHideCardBalaCl
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 17:06:10.935,null,FortuneHideCardBalaCl
AppEvent,fortunePageCl,AppEvent-fortunePageCl,c00389049878,2020-12-29 17:06:10.946,null,fortunePageCl
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 17:06:11.109,null,FortuneHideCardBalaCl
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 17:06:11.119,null,FortuneHideCardBalaCl
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 17:06:11.808,null,FortuneHideCardBalaCl
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 17:06:11.82,null,FortuneHideCardBalaCl
FortuneFunctionCl,null,null,c00389049878,2020-12-29 17:06:12.404,null,null
FortuneFunctionCl,null,null,c00389049878,2020-12-29 17:06:12.415,null,null
AppPageView,Main,AppPageView-Main,c00389049878,2020-12-29 17:06:12.441,null,Main
AppPageView,Delegate,AppPageView-Delegate,c00389049878,2020-12-29 17:06:12.499,33.0,Delegate
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 17:06:12.512,null,FortuneHideCardBalaCl
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 17:06:12.52,null,FortuneHideCardBalaCl
AppEvent,trackStartLoadingRN,AppEvent-trackStartLoadingRN,c00389049878,2020-12-29 17:06:12.677,null,trackStartLoadingRN
AppEvent,trackRNJavaScriptDidLoad,AppEvent-trackRNJavaScriptDidLoad,c00389049878,2020-12-29 17:06:12.716,null,trackRNJavaScriptDidLoad
AppPageView,TransferMoneyPg,AppPageView-TransferMoneyPg,c00389049878,2020-12-29 17:06:13.061,3.0,TransferMoneyPg
AppEvent,transferMoreInfo,AppEvent-transferMoreInfo,c00389049878,2020-12-29 17:07:43.646,null,transferMoreInfo
AppEvent,TransferMoreInfoCl,AppEvent-TransferMoreInfoCl,c00389049878,2020-12-29 17:07:43.663,null,TransferMoreInfoCl
$AppEnd,null,null,c00389049878,2020-12-29 17:08:23.996,142.0,null
$AppStart,null,null,c00389049878,2020-12-29 17:13:54.731,null,null
AppEvent,collectDeviceFinger,AppEvent-collectDeviceFinger,c00389049878,2020-12-29 17:13:54.757,null,collectDeviceFinger
JwfwLocationCm,JwfwLocAndCm,JwfwLocationCm-JwfwLocAndCm,c00389049878,2020-12-29 17:13:55.632,null,JwfwLocAndCm
AppEvent,collectDeviceFingerSuccess,AppEvent-collectDeviceFingerSuccess,c00389049878,2020-12-29 17:13:55.677,null,collectDeviceFingerSuccess
AppEvent,tsfMnCardTsfCl,AppEvent-tsfMnCardTsfCl,c00389049878,2020-12-29 17:14:36.131,null,tsfMnCardTsfCl
AppEvent,TransferUniCardCl,AppEvent-TransferUniCardCl,c00389049878,2020-12-29 17:14:36.152,null,TransferUniCardCl
JwfwLocationCm,JwfwLocAndCm,JwfwLocationCm-JwfwLocAndCm,c00389049878,2020-12-29 17:14:36.48,null,JwfwLocAndCm
AppEvent,tsfMnCardTsfCl,AppEvent-tsfMnCardTsfCl,c00389049878,2020-12-29 17:15:10.762,null,tsfMnCardTsfCl
AppEvent,TransferUniCardCl,AppEvent-TransferUniCardCl,c00389049878,2020-12-29 17:15:10.777,null,TransferUniCardCl
JwfwLocationCm,JwfwLocAndCm,JwfwLocationCm-JwfwLocAndCm,c00389049878,2020-12-29 17:15:11.135,null,JwfwLocAndCm
AppEvent,TransferCardNameCl,AppEvent-TransferCardNameCl,c00389049878,2020-12-29 17:15:14.453,null,TransferCardNameCl
AppEvent,TransferCardCardnumCl,AppEvent-TransferCardCardnumCl,c00389049878,2020-12-29 17:15:17.234,null,TransferCardCardnumCl
$AppEnd,null,null,c00389049878,2020-12-29 17:17:50.397,235.0,null
$AppStart,null,null,c00389049878,2020-12-29 17:18:10.785,null,null
AppEvent,collectDeviceFinger,AppEvent-collectDeviceFinger,c00389049878,2020-12-29 17:18:10.821,null,collectDeviceFinger
JwfwLocationCm,JwfwLocAndCm,JwfwLocationCm-JwfwLocAndCm,c00389049878,2020-12-29 17:18:11.337,null,JwfwLocAndCm
AppEvent,collectDeviceFingerSuccess,AppEvent-collectDeviceFingerSuccess,c00389049878,2020-12-29 17:18:11.594,null,collectDeviceFingerSuccess
$AppEnd,null,null,c00389049878,2020-12-29 17:18:12.218,1.0,null
$AppStart,null,null,c00389049878,2020-12-29 18:03:00.618,null,null
AppEvent,collectDeviceFinger,AppEvent-collectDeviceFinger,c00389049878,2020-12-29 18:03:00.639,null,collectDeviceFinger
JwfwLocationCm,JwfwLocAndCm,JwfwLocationCm-JwfwLocAndCm,c00389049878,2020-12-29 18:03:01.149,null,JwfwLocAndCm
